category,price_bucket,n,implied_p,actual_p,bias_pp,best_side,net_ev_pct
crypto_other,"(0.1, 0.15]",21,0.123,0.286,16.2,YES,130.3
other_bucket,"(0.05, 0.1]",22,0.07,0.136,6.6,YES,93.0
tweet_count,"(-0.001, 0.05]",127,0.006,0.008,0.2,YES,28.3
weather,"(0.3, 0.4]",115,0.337,0.435,9.7,YES,27.4
weather,"(0.1, 0.15]",347,0.127,0.153,2.6,YES,19.2
weather,"(0.4, 0.5]",24,0.44,0.333,-10.6,NO,17.5
politics_or_sports,"(0.7, 1.0]",37,0.88,0.973,9.2,YES,9.0
weather,"(0.2, 0.3]",591,0.246,0.261,1.4,YES,4.3
crypto_threshold,"(0.7, 1.0]",158,0.94,0.987,4.8,YES,3.6
crypto_other,"(0.05, 0.1]",38,0.071,0.026,-4.5,NO,3.4
crypto_other,"(0.2, 0.3]",48,0.256,0.229,-2.7,NO,2.1
weather,"(0.15, 0.2]",342,0.177,0.181,0.4,YES,0.7
crypto_other,"(-0.001, 0.05]",136,0.017,0.0,-1.7,NO,0.3
politics_or_sports,"(-0.001, 0.05]",23,0.018,0.0,-1.8,NO,0.3
crypto_threshold,"(-0.001, 0.05]",70,0.016,0.0,-1.6,NO,0.1
other_bucket,"(-0.001, 0.05]",63,0.015,0.0,-1.5,NO,0.0
weather,"(0.05, 0.1]",393,0.076,0.064,-1.2,NO,-0.2
weather,"(-0.001, 0.05]",762,0.021,0.013,-0.8,NO,-0.7
